land_record_id,farmer_id,state,district,survey_number,patta_number,land_area,land_type,ownership_status,document_status,land_use,last_updated,ethical_flag,dispute_status,verification_source
LRWE000001,F486783,West Bengal,Bardhaman,740/50,WB67768065,22.86,dry,joint,valid,agricultural,10-03-2021,,none,revenue_records
LRWE000002,F350904,West Bengal,Bardhaman,769/51,WB24612176,20.83,wet,disputed,invalid,agricultural,23-11-2023,false_succession_claim,inheritance_dispute,revenue_records
LRRA000003,F348655,Rajasthan,Bhilwara,499-F,RJ43714936,15.51,wet,owner,valid,agricultural,29-03-2020,,none,digitized_land_registry
LRMA000004,F122503,Madhya Pradesh,Sagar,477-E,MP47959794,25.72,wet,tenant,valid,agricultural,14-07-2024,,none,revenue_records
LRAN000005,F467273,Andhra Pradesh,Vijayawada,823/23,AP11148065,6.17,wet,inherited,valid,agricultural,18-05-2023,,none,digitized_land_registry
LRHA000006,F964571,Haryana,Faridabad,S1078,HR67478084,21.04,plantation,inherited,valid,horticultural,09-11-2022,,none,revenue_records
LRAN000007,F786427,Andhra Pradesh,Vijayawada,499/47,AP83251688,21.83,garden,tenant,expired,converted_non_agricultural,24-05-2019,environmental_clearance_violation,encroachment_case,revenue_records
LRUT000008,F650377,Uttar Pradesh,Gorakhpur,942-C,UP80283960,28.86,garden,tenant,valid,agricultural,25-05-2018,,none,satellite_mapping
LRPU000009,F368723,Punjab,Patiala,434/18,PB72145523,36.65,plantation,inherited,valid,horticultural,01-01-2020,,none,satellite_mapping
LRTA000010,F348327,Tamil Nadu,Erode,S8804,TN80934612,46,garden,owner,valid,horticultural,11-03-2020,,none,digitized_land_registry
LRWE000011,F312482,West Bengal,Kolkata,3/228/1,WB95422902,18.72,wet,inherited,invalid,agricultural,28-07-2020,common_land_appropriation,boundary_dispute,revenue_records
LRGU000012,F236786,Gujarat,Jamnagar,S2975,GJ71104207,20.81,plantation,disputed,pending_verification,agricultural,27-05-2019,sc_st_land_alienation,active_litigation,manual_verification
LRHA000013,F117280,Haryana,Yamunanagar,53/19/2,HR47537470,24.7,garden,owner,valid,horticultural,19-05-2018,,none,revenue_records
LRMA000014,F880193,Madhya Pradesh,Jabalpur,S5574,MP62460091,48.34,dry,inherited,valid,agricultural,22-09-2018,,none,satellite_mapping
LRKA000015,F112481,Karnataka,Shimoga,34/643/4,KA74927686,16.6,plantation,inherited,valid,horticultural,11-03-2021,,none,revenue_records
LRUT000016,F505320,Uttar Pradesh,Kanpur,380-E,UP19816082,18.76,dry,inherited,valid,agricultural,27-06-2024,,none,revenue_records
LRTE000017,F766927,Telangana,Nizamabad,784-A,TS96717783,19.21,wet,owner,valid,agricultural,26-11-2024,,none,satellite_mapping
LRMA000018,F327105,Madhya Pradesh,Gwalior,52/699/7,MP85861637,41.46,plantation,tenant,valid,agricultural,02-05-2023,,none,digitized_land_registry
LRUT000019,F901238,Uttar Pradesh,Lucknow,38/954/7,UP47059516,21.94,dry,inherited,valid,agricultural,12-08-2023,,none,revenue_records
LRKA000020,F976688,Karnataka,Shimoga,547/54,KA58448564,20.98,wet,owner,valid,agricultural,29-07-2018,,none,revenue_records
LRAN000021,F830812,Andhra Pradesh,Tirupati,S4186,AP94379888,26.56,plantation,inherited,valid,agricultural,17-02-2021,,none,satellite_mapping
LRUT000022,F218121,Uttar Pradesh,Moradabad,27/49/8,UP39295119,14.68,plantation,inherited,valid,agricultural,18-12-2018,,none,satellite_mapping
LRKA000023,F288996,Karnataka,Bengaluru,64/361/3,KA79354977,24.38,dry,joint,valid,horticultural,09-05-2019,,none,revenue_records
LRRA000024,F481038,Rajasthan,Jaipur,770/24,RJ46673929,32.09,dry,inherited,pending_verification,agricultural,15-03-2018,common_land_appropriation,active_litigation,revenue_records
LRMA000025,F857035,Maharashtra,Kolhapur,965/48,,4.32,garden,joint,valid,agricultural,01-02-2023,encroachment_on_government_land,active_litigation,manual_verification
LRHA000026,F923297,Haryana,Faridabad,76/291/9,HR59128584,36.59,wet,tenant,valid,agricultural,21-07-2023,,none,digitized_land_registry
LRKA000027,F117142,Karnataka,Gulbarga,S6331,KA91431697,36.77,dry,disputed,expired,horticultural,12-05-2024,false_succession_claim,active_litigation,unverified
LRMA000028,F800244,Maharashtra,Sangli,911/58,MH92048116,40.57,garden,inherited,valid,agricultural,31-03-2022,,none,satellite_mapping
LRWE000029,F804798,West Bengal,Kolkata,S7855,WB76075645,9.59,garden,tenant,valid,horticultural,17-08-2022,,none,digitized_land_registry
LRGU000030,F543176,Gujarat,Vadodara,S1337,GJ41644742,24.99,wet,joint,valid,agricultural,12-11-2024,,none,digitized_land_registry
LRUT000031,F142811,Uttar Pradesh,Agra,S5465,UP31812758,4.79,dry,tenant,valid,horticultural,05-08-2022,,none,revenue_records
LRWE000032,F594771,West Bengal,Siliguri,S3477,,51.1,garden,joint,pending_verification,horticultural,10-05-2024,ceiling_breach,none,revenue_records
LRRA000033,F257788,Rajasthan,Pali,223-E,RJ45078645,12.97,garden,owner,pending_verification,horticultural,13-03-2020,encroachment_on_government_land,active_litigation,revenue_records
LRAN000034,F184300,Andhra Pradesh,Nellore,80/928/5,AP16016715,34.82,plantation,tenant,valid,agricultural,04-05-2020,,none,digitized_land_registry
LRHA000035,F132375,Haryana,Panchkula,S3555,HR75615253,14.94,plantation,inherited,valid,agricultural,20-09-2022,,none,satellite_mapping
LRMA000036,F346797,Maharashtra,Ahmednagar,S4432,MH75766801,32.76,dry,joint,valid,horticultural,01-10-2021,,none,digitized_land_registry
